Topic Id,Top Words...
0,nadja extremely work love leave regard solange sense character thing du period des madame drawing wait théatre letters life home
1,cynthia petitdemange amie mac louf simple happiness bracelet cook eugénie soil hour phosphorus servant afternoon hey gardener mauve hard pride
2,rue shop metaphysics heart certa du customers path knowledge south logic lake laws buttes station abstract wing display east café
3,idea love nature mind sense man human imagination passage pleasure image de form world reason great concrete thought sort modern
4,eyes love sea hands light wind heart sky day night fish sun water white birds death earth head blood trees
5,man young woman wife box newcomer character hands mouth room slow bed identical falling motion door ruffles moves shoulders camera
6,flowers miss lies breton captain louis morin péret aragon stood benjamin verdure baignoire hundred vitrac andré stopped began fell parts
7,mr broom seller coal minister salade honourable abencerage tears soup boomerang letter fell handkerchief speaker miss disappeared van flood started
8,décor powder southern idealists 19th allemagne gateways dust enter traces placard armchairs mountain suicide lacking bizarre furnished barométre everyday searching
9,woman back time hand long left made head moment suddenly women great door make place people eyes de red blue
10,longer colour cries traveller pale towns coloured rivers marvellous travellers plants shop charming hotels village stations grey delightful lose halls
11,woman child ll girl young amie family grandmother father babylon kerosene hair daughter mother knew flesh asked negress alfred sister
12,man day life time night thought longer men great good made dream make white give today words called mind place
13,surrealism surrealist point marvelous poetry birds object naville number revolutionary completely system break surrealists party led humor nonetheless images edge
14,sugar stores measures delicious easily travelling allowed 4 theatre herd elephant valleys bite market 87 travelled nation gleams cracked neighbouring
